country	name	name_normalized	caps	goals	most_recent_year_played	position	year_born	club	club_nationality	played_in_latest
South Africa	Rushine De Reuck	rushinedereuck	14	0	2022	DF	1996	Mamelodi Sundowns F.C.	RSA	TRUE
South Africa	Grant Kekana	grantkekana	1	0	2022	DF	1992	Mamelodi Sundowns F.C.	RSA	TRUE
South Africa	Nyiko Mobbie	nyikomobbie	9	0	2022	DF	1994	Sekhukhune United F.C.	RSA	TRUE
South Africa	Thapelo Morena	thapelomorena	14	0	2022	DF	1993	Mamelodi Sundowns F.C.	RSA	TRUE
South Africa	Siyanda Msani	siyandamsani	1	0	2022	DF	2001	Richards Bay F.C.	RSA	TRUE
South Africa	Siyanda Xulu	siyandaxulu	16	1	2022	DF	1991	Turan-Tovuz IK	AZE	TRUE
South Africa	Njabulo Blom	njabuloblom	1	0	2022	MF	1999	St Louis City SC	USA	TRUE
South Africa	Luke Le Roux	lukeleroux	2	0	2022	MF	2000	Varbergs BoIS	SWE	TRUE
South Africa	Aubrey Modiba	aubreymodiba	12	2	2022	MF	1995	Mamelodi Sundowns F.C.	RSA	TRUE
South Africa	Teboho Mokoena	tebohomokoena	17	4	2022	MF	1997	Mamelodi Sundowns F.C.	RSA	TRUE
South Africa	Thibang Phete	thibangphete	4	0	2022	MF	1994	Al Bataeh Club	UAE	TRUE
South Africa	Miguel Timm	migueltimm	0	0	2022	MF	1992	Orlando Pirates F.C.	RSA	TRUE
South Africa	Lyle Foster	lylefoster	9	1	2022	FW	2000	K.V.C. Westerlo	BEL	TRUE
South Africa	Fagrie Lakay	fagrielakay	5	0	2022	FW	1997	Pyramids FC	EGY	TRUE
South Africa	Zakhele Lepasa	zakhelelepasa	2	0	2022	FW	1997	Orlando Pirates F.C.	RSA	TRUE
South Africa	Mihlali Mayambela	mihlalimayambela	2	1	2022	FW	1996	Aris Limassol FC	CYP	TRUE
South Africa	Khanyisa Mayo	khanyisamayo	2	0	2022	FW	1998	Cape Town City F.C. (2016)	RSA	TRUE
South Africa	Monnapule Saleng	monnapulesaleng	0	0	2022	FW	1998	Orlando Pirates F.C.	RSA	TRUE
South Africa	Kgaogelo Sekgota	kgaogelosekgota	1	0	2022	FW	1997	Kaizer Chiefs F.C.	RSA	TRUE
South Africa	Themba Zwane	thembazwane	29	6	2022	FW	1989	Mamelodi Sundowns F.C.	RSA	TRUE
South Africa	Bruce Bvuma	brucebvuma	3	0	2022	GK	1995	Kaizer Chiefs F.C.	RSA	FALSE
South Africa	Brandon Peterson	brandonpeterson	0	0	2022	GK	1994	Kaizer Chiefs F.C.	RSA	FALSE
South Africa	Innocent Maela	innocentmaela	12	0	2022	DF	1992	Orlando Pirates F.C.	RSA	FALSE
South Africa	Terrence Mashego	terrencemashego	4	0	2022	DF	1998	Cape Town City F.C. (2016)	RSA	FALSE
South Africa	Lyle Lakay	lylelakay	3	1	2022	DF	1991	Cape Town City F.C. (2016)	RSA	FALSE
South Africa	Siyabonga Ngezana	siyabongangezana	2	0	2022	DF	1997	Kaizer Chiefs F.C.	RSA	FALSE
South Africa	Taariq Fielies	taariqfielies	1	0	2022	DF	1992	Cape Town City F.C. (2016)	RSA	FALSE
South Africa	Luke Fleurs	lukefleurs	0	0	2022	DF	2000	SuperSport United F.C.	RSA	FALSE
South Africa	Thabani Zuke	thabanizuke	0	0	2022	DF	1998	Lamontville Golden Arrows F.C.	RSA	FALSE
South Africa	Athenkosi Mcaba	athenkosimcaba	0	0	2022	DF	2002	Stellenbosch F.C.	RSA	FALSE
South Africa	Khuliso Mudau	khulisomudau	0	0	2022	DF	1995	Mamelodi Sundowns F.C.	RSA	FALSE
South Africa	Bandile Shandu	bandileshandu	0	0	2022	DF	1995	Orlando Pirates F.C.	RSA	FALSE
South Africa	Nkosinathi Sibisi	nkosinathisibisi	1	0	2022	DF	1995	Orlando Pirates F.C.	RSA	FALSE
South Africa	Rivaldo Coetzee	rivaldocoetzee	24	0	2022	DF	1996	Mamelodi Sundowns F.C.	RSA	FALSE
South Africa	Sbonelo Cele	sbonelocele	0	0	2022	DF	2001	Lamontville Golden Arrows F.C.	RSA	FALSE
South Africa	Veluyeke Zulu	veluyekezulu	0	0	2022	DF	1995	Chippa United F.C.	RSA	FALSE
South Africa	Thabang Monare	thabangmonare	2	0	2022	MF	1989	Orlando Pirates F.C.	RSA	FALSE
South Africa	Goodman Mosele	goodmanmosele	0	0	2022	MF	1999	Orlando Pirates F.C.	RSA	FALSE
South Africa	Sphephelo Sithole	sphephelosithole	0	0	2022	MF	1999	B-SAD	POR	FALSE
South Africa	Fortune Makaringe	fortunemakaringe	3	0	2022	MF	1993	Orlando Pirates F.C.	RSA	FALSE
South Africa	Yusuf Maart	yusufmaart	10	3	2022	MF	1995	Mamelodi Sundowns F.C.	RSA	FALSE
South Africa	Lebohang Maboe	lebohangmaboe	6	1	2022	MF	1994	Sekhukhune United F.C.	RSA	FALSE
South Africa	Mduduzi Mdantsane	mduduzimdantsane	1	0	2022	MF	1994	Cape Town City F.C. (2016)	RSA	FALSE
South Africa	Phathutshedzo Nange	phathutshedzonange	0	0	2022	MF	1991	Kaizer Chiefs F.C.	RSA	FALSE
South Africa	Jesse Donn	jessedonn	0	0	2022	MF	1999	SuperSport United F.C.	RSA	FALSE
South Africa	Mothobi Mvala	mothobimvala	9	1	2022	MF	1994	Mamelodi Sundowns F.C.	RSA	FALSE
South Africa	Ethan Brooks	ethanbrooks	8	0	2022	MF	2001	AmaZulu F.C.	RSA	FALSE
South Africa	Pule Mmodi	pulemmodi	0	0	2022	MF	1993	Lamontville Golden Arrows F.C.	RSA	FALSE
South Africa	Percy Tau	percytau	34	13	2022	FW	1994	Al Ahly SC	EGY	FALSE
South Africa	Keagan Dolly	keagandolly	21	3	2022	FW	1993	Kaizer Chiefs F.C.	RSA	FALSE
South Africa	Evidence Makgopa	evidencemakgopa	6	3	2022	FW	2000	Orlando Pirates F.C.	RSA	FALSE
South Africa	Bongokuhle Hlongwane	bongokuhlehlongwane	7	4	2022	FW	2000	Minnesota United FC	USA	FALSE
South Africa	Thembinkosi Lorch	thembinkosilorch	7	1	2022	FW	1993	Orlando Pirates	RSA	FALSE
South Africa	Ashley Du Preez	ashleydupreez	0	0	2022	FW	1997	Kaizer Chiefs F.C.	RSA	FALSE
South Africa	Victor Letsoalo	victorletsoalo	4	4	2022	FW	1993	Sekhukhune United F.C.	RSA	FALSE
Tunisia	Aymen Mathlouthi	aymenmathlouthi	73	0	2022	GK	1984	Étoile Sportive du Sahel	TUN	TRUE
Tunisia	Aymen Dahmen	aymendahmen	8	0	2022	GK	1997	CS Sfaxien	TUN	TRUE
Tunisia	Bechir Ben Saïd	bechirbensaid	10	0	2022	GK	1992	US Monastir (football)	TUN	TRUE
Tunisia	Mouez Hassen	mouezhassen	20	0	2022	GK	1995	Club Africain	TUN	TRUE
Tunisia	Bilel Ifa	bilelifa	37	0	2022	DF	1990	Kuwait SC	KUW	TRUE
Tunisia	Montassar Talbi	montassartalbi	26	1	2022	DF	1998	FC Lorient	FRA	TRUE
Tunisia	Yassine Meriah	yassinemeriah	64	3	2022	DF	1993	Espérance Sportive de Tunis	TUN	TRUE
Tunisia	Nader Ghandri	naderghandri	7	0	2022	DF	1995	Club Africain	TUN	TRUE
Tunisia	Dylan Bronn	dylanbronn	38	2	2022	DF	1995	U.S. Salernitana 1919	ITA	TRUE
Tunisia	Ali Maâloul	alimaaloul	84	2	2022	DF	1990	Al Ahly SC	EGY	TRUE
Tunisia	Mohamed Dräger	mohameddraeger	36	3	2022	DF	1996	FC Luzern	SUI	TRUE
Tunisia	Wajdi Kechrida	wajdikechrida	22	0	2022	DF	1995	Atromitos F.C.	GRE	TRUE
Tunisia	Ali Abdi	aliabdi	13	2	2022	DF	1993	Stade Malherbe Caen	FRA	TRUE
Tunisia	Hannibal Mejbri	hannibalmejbri	20	0	2022	MF	2003	Birmingham City F.C.	ENG	TRUE
Tunisia	Ferjani Sassi	ferjanisassi	80	6	2022	MF	1992	Al-Duhail SC	QAT	TRUE
Tunisia	Aïssa Laïdouni	aissalaidouni	27	1	2022	MF	1996	Ferencvárosi TC	HUN	TRUE
Tunisia	Mohamed Ali Ben Romdhane	mohamedalibenromdhane	24	1	2022	MF	1999	Espérance Sportive de Tunis	TUN	TRUE
Tunisia	Ellyes Skhiri	ellyesskhiri	52	3	2022	MF	1995	1. FC Köln	GER	TRUE
Tunisia	Ghailene Chaalali	ghailenechaalali	32	1	2022	MF	1994	Espérance Sportive de Tunis	TUN	TRUE
Tunisia	Anis Ben Slimane	anisbenslimane	27	4	2022	MF	2001	Brøndby IF	DEN	TRUE
Tunisia	Youssef Msakni	youssefmsakni	90	17	2022	FW	1990	Al-Arabi SC (Qatar)	QAT	TRUE
Tunisia	Issam Jebali	issamjebali	13	2	2022	FW	1991	Odense Boldklub	DEN	TRUE
Tunisia	Wahbi Khazri	wahbikhazri	74	25	2022	FW	1991	Montpellier HSC	FRA	TRUE
Tunisia	Taha Yassine Khenissi	tahayassinekhenissi	50	9	2022	FW	1992	Kuwait SC	KUW	TRUE
Tunisia	Seifeddine Jaziri	seifeddinejaziri	29	10	2022	FW	1993	Zamalek SC	EGY	TRUE
Tunisia	Naïm Sliti	naimsliti	71	14	2022	FW	1992	Ettifaq FC	KSA	TRUE
Tunisia	Mohamed Sedki Debchi	mohamedsedkidebchi	0	0	2022	GK	1999	Espérance Sportive de Tunis	TUN	FALSE
Tunisia	Ali Jemal	alijemal	0	0	2022	GK	1990	Étoile du Sahel	TUN	FALSE
Tunisia	Farouk Ben Mustapha	faroukbenmustapha	43	0	2021	GK	1989	Espérance Sportive de Tunis	TUN	FALSE
Tunisia	Hamza Mathlouthi	hamzamathlouthi	38	1	2022	DF	1992	Zamalek SC	EGY	FALSE
